ID-Produto,Produto,Categoria,Segmento,Fabricante,Loja,Cidade,Estado,Vendedor,ID-Vendedor,Data Venda,ValorVenda,pre�o Custo,,
SKU-0000181,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Marcos Paulo,1204,26/11/14,1230,774,9,
SKU-0000159,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Josias Silva,1203,27/11/14,3999,2519,37,
SKU-0000160,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Mateus Gon�alves,1205,28/11/14,3999,2519,37,
SKU-0000173,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1202,30/11/14,3999,2519,37,
SKU-0000176,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1202,01/12/14,3999,2519,37,
SKU-0000179,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1202,02/12/14,1230,774,9,
SKU-0000180,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1202,03/12/14,1230,774,9,
SKU-0000181,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Aline Sutter,1201,04/12/14,1230,774,9,
SKU-0000160,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Mateus Gon�alves,1205,17/12/14,3999,2519,37,
SKU-0000176,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Aline Sutter,1201,19/12/14,3999,2519,37,
SKU-0000296,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Aline Sutter,1201,21/12/14,1230,774,9,
SKU-0000181,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1202,22/12/14,1230,774,9,
SKU-0000296,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Aline Sutter,1201,27/12/14,1230,774,9,
SKU-0000001,LG K10 TV Power,Celulares,Corporativo,LG,R1296,Recife,Pernambuco,Aline Sutter,1009,04/10/15,712,95,449,16
SKU-0000001,LG K10 TV Power,Celulares,Corporativo,LG,R1296,Recife,Pernambuco,Aline Sutter,1009,04/10/15,712,95,449,16
SKU-0000001,LG K10 TV Power,Celulares,Corporativo,LG,R1296,Recife,Pernambuco,Aline Sutter,1009,04/10/15,712,95,449,16
SKU-0000140,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Mateus Gon�alves,1003,12/03/16,2056,62,1295,67
SKU-0000140,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Mateus Gon�alves,1003,12/03/16,2056,62,1295,67
SKU-0000140,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Mateus Gon�alves,1003,20/03/16,2056,62,1295,67
SKU-0000140,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Mateus Gon�alves,1003,20/03/16,2056,62,1295,67
SKU-0000142,Sony Experia XA,Celulares,Dom�stico,Sony,BA7783,Salvador,Bahia,Rodrigo Fagundes,1005,14/04/16,757,2,476,92
SKU-0000142,Sony Experia XA,Celulares,Dom�stico,Sony,BA7783,Salvador,Bahia,Rodrigo Fagundes,1005,14/04/16,757,2,476,92
SKU-0000142,Sony Experia XA,Celulares,Dom�stico,Sony,JP8825,Jo�o Pessoa,Para�ba,Bruno Bezerra,8801,22/04/16,757,2,476,92
SKU-0000142,Sony Experia XA,Celulares,Dom�stico,Sony,JP8825,Jo�o Pessoa,Para�ba,Bruno Bezerra,8801,22/04/16,757,2,476,92
SKU-0000148,Samsung Galaxy 8,Celulares,Corporativo,Samsung,RG7742,Natal,Rio Grande do Norte,Maria Fernandes,1001,20/07/16,4330,92,2728,48
SKU-0000148,Samsung Galaxy 8,Celulares,Corporativo,Samsung,RG7742,Natal,Rio Grande do Norte,Maria Fernandes,1001,20/07/16,4330,92,2728,48
SKU-0000148,Samsung Galaxy 8,Celulares,Corporativo,Samsung,JP8825,Jo�o Pessoa,Para�ba,Lucas paiva,8804,28/07/16,4330,92,2728,48
SKU-0000148,Samsung Galaxy 8,Celulares,Corporativo,Samsung,JP8825,Jo�o Pessoa,Para�ba,Lucas paiva,8804,28/07/16,4330,92,2728,48
SKU-0000151,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1004,23/10/16,4330,92,2728,48
SKU-0000151,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1004,23/10/16,4330,92,2728,48
SKU-0000151,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1004,31/10/16,4330,92,2728,48
SKU-0000151,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1004,31/10/16,4330,92,2728,48
SKU-0000311,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,01/02/17,1365,3,860,14
SKU-0000311,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,01/02/17,1365,3,860,14
SKU-0000157,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Mateus Gon�alves,1003,01/02/17,4438,89,2796,5
SKU-0000157,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Mateus Gon�alves,1003,01/02/17,4438,89,2796,5
SKU-0000157,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Mateus Gon�alves,1003,01/02/17,4438,89,2796,5
SKU-0000157,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Mateus Gon�alves,1003,01/02/17,4438,89,2796,5
SKU-0000311,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,09/02/17,1365,3,860,14
SKU-0000311,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,09/02/17,1365,3,860,14
SKU-0000157,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Mateus Gon�alves,1003,09/02/17,4438,89,2796,5
SKU-0000157,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Mateus Gon�alves,1003,09/02/17,4438,89,2796,5
SKU-0000312,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,02/03/17,1365,3,860,14
SKU-0000312,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,02/03/17,1365,3,860,14
SKU-0000158,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Josias Silva,1006,02/03/17,4438,89,2796,5
SKU-0000158,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Josias Silva,1006,02/03/17,4438,89,2796,5
SKU-0000158,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Josias Silva,1006,02/03/17,4438,89,2796,5
SKU-0000158,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Josias Silva,1006,02/03/17,4438,89,2796,5
SKU-0000312,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,10/03/17,1365,3,860,14
SKU-0000312,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,10/03/17,1365,3,860,14
SKU-0000158,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Josias Silva,1006,10/03/17,4438,89,2796,5
SKU-0000158,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Josias Silva,1006,10/03/17,4438,89,2796,5
SKU-0000313,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,03/04/17,1365,3,860,14
SKU-0000313,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,03/04/17,1365,3,860,14
SKU-0000159,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1004,03/04/17,4438,89,2796,5
SKU-0000159,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1004,03/04/17,4438,89,2796,5
SKU-0000159,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1004,03/04/17,4438,89,2796,5
SKU-0000159,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1004,03/04/17,4438,89,2796,5
SKU-0000313,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,11/04/17,1365,3,860,14
SKU-0000313,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,11/04/17,1365,3,860,14
SKU-0000159,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1004,11/04/17,4438,89,2796,5
SKU-0000159,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1004,11/04/17,4438,89,2796,5
SKU-0000314,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,03/05/17,1365,3,860,14
SKU-0000314,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,03/05/17,1365,3,860,14
SKU-0000160,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1004,03/05/17,4438,89,2796,5
SKU-0000160,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1004,03/05/17,4438,89,2796,5
SKU-0000160,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1004,03/05/17,4438,89,2796,5
SKU-0000160,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1004,03/05/17,4438,89,2796,5
SKU-0000314,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,11/05/17,1365,3,860,14
SKU-0000314,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,11/05/17,1365,3,860,14
SKU-0000160,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1004,11/05/17,4438,89,2796,5
SKU-0000160,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Artur Moreira,1004,11/05/17,4438,89,2796,5
SKU-0000309,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,03/10/17,1365,3,860,14
SKU-0000309,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,03/10/17,1365,3,860,14
SKU-0000309,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,03/10/17,1365,3,860,14
SKU-0000155,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Aline Sutter,1009,03/10/17,4438,89,2796,5
SKU-0000155,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Aline Sutter,1009,03/10/17,4438,89,2796,5
SKU-0000155,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Aline Sutter,1009,03/10/17,4438,89,2796,5
SKU-0000309,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,11/10/17,1365,3,860,14
SKU-0000309,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,11/10/17,1365,3,860,14
SKU-0000309,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,11/10/17,1365,3,860,14
SKU-0000309,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,11/10/17,1365,3,860,14
SKU-0000155,Samsung Galaxy 8,Celulares,Corporativo,Samsung,GA7751,Garanhuns,Pernambuco,Carla Souza,7703,11/10/17,4438,89,2796,5
SKU-0000155,Samsung Galaxy 8,Celulares,Corporativo,Samsung,GA7751,Garanhuns,Pernambuco,Carla Souza,7703,11/10/17,4438,89,2796,5
SKU-0000155,Samsung Galaxy 8,Celulares,Corporativo,Samsung,GA7751,Garanhuns,Pernambuco,Carla Souza,7703,11/10/17,4438,89,2796,5
SKU-0000155,Samsung Galaxy 8,Celulares,Corporativo,Samsung,GA7751,Garanhuns,Pernambuco,Carla Souza,7703,11/10/17,4438,89,2796,5
SKU-0000181,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1004,09/01/18,1402,2,883,39
SKU-0000335,Morotola Moto G5,Celulares,Dom�stico,Motorola,BA7783,Salvador,Bahia,Rodrigo Fagundes,1005,09/01/18,1402,2,883,39
SKU-0000181,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1004,09/01/18,1402,2,883,39
SKU-0000335,Morotola Moto G5,Celulares,Dom�stico,Motorola,BA7783,Salvador,Bahia,Rodrigo Fagundes,1005,09/01/18,1402,2,883,39
SKU-0000181,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1004,09/01/18,1402,2,883,39
SKU-0000335,Morotola Moto G5,Celulares,Dom�stico,Motorola,BA7783,Salvador,Bahia,Rodrigo Fagundes,1005,09/01/18,1402,2,883,39
SKU-0000181,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1004,14/01/18,1402,2,883,39
SKU-0000181,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1004,14/01/18,1402,2,883,39
SKU-0000181,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1004,14/01/18,1402,2,883,39
SKU-0000335,Morotola Moto G5,Celulares,Dom�stico,Motorola,BA7783,Salvador,Bahia,Rodrigo Fagundes,1005,15/01/18,1402,2,883,39
SKU-0000335,Morotola Moto G5,Celulares,Dom�stico,Motorola,BA7783,Salvador,Bahia,Rodrigo Fagundes,1005,15/01/18,1402,2,883,39
SKU-0000335,Morotola Moto G5,Celulares,Dom�stico,Motorola,BA7783,Salvador,Bahia,Rodrigo Fagundes,1005,15/01/18,1402,2,883,39
SKU-0000324,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,01/02/18,1402,2,883,39
SKU-0000324,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,01/02/18,1402,2,883,39
SKU-0000324,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,01/02/18,1402,2,883,39
SKU-0000170,Samsung Galaxy 8,Celulares,Corporativo,Samsung,RG7742,Natal,Rio Grande do Norte,Maria Fernandes,1001,01/02/18,4558,86,2872,8
SKU-0000170,Samsung Galaxy 8,Celulares,Corporativo,Samsung,RG7742,Natal,Rio Grande do Norte,Maria Fernandes,1001,01/02/18,4558,86,2872,8
SKU-0000170,Samsung Galaxy 8,Celulares,Corporativo,Samsung,RG7742,Natal,Rio Grande do Norte,Maria Fernandes,1001,01/02/18,4558,86,2872,8
SKU-0000324,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,09/02/18,1402,2,883,39
SKU-0000324,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,09/02/18,1402,2,883,39
SKU-0000170,Samsung Galaxy 8,Celulares,Corporativo,Samsung,GA7751,Garanhuns,Pernambuco,Ana Teixeira,7701,09/02/18,4558,86,2872,8
SKU-0000170,Samsung Galaxy 8,Celulares,Corporativo,Samsung,GA7751,Garanhuns,Pernambuco,Ana Teixeira,7701,09/02/18,4558,86,2872,8
SKU-0000325,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,01/03/18,1402,2,883,39
SKU-0000325,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,01/03/18,1402,2,883,39
SKU-0000171,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Andr� Pereira,1002,01/03/18,4558,86,2872,8
SKU-0000171,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Andr� Pereira,1002,01/03/18,4558,86,2872,8
SKU-0000325,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,09/03/18,1402,2,883,39
SKU-0000325,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,09/03/18,1402,2,883,39
SKU-0000325,Morotola Moto G5,Celulares,Dom�stico,Motorola,AL1312,Macei�,Alagoas,Pablo Silva,1202,09/03/18,1402,2,883,39
SKU-0000171,Samsung Galaxy 8,Celulares,Corporativo,Samsung,JB6325,Jaboat�o dos Guararapes,Pernambuco,Gustavo Lima,1002,09/03/18,4558,86,2872,8
SKU-0000171,Samsung Galaxy 8,Celulares,Corporativo,Samsung,JB6325,Jaboat�o dos Guararapes,Pernambuco,Gustavo Lima,1002,09/03/18,4558,86,2872,8
SKU-0000171,Samsung Galaxy 8,Celulares,Corporativo,Samsung,JB6325,Jaboat�o dos Guararapes,Pernambuco,Gustavo Lima,1002,09/03/18,4558,86,2872,8
SKU-0000294,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Josias Silva,1006,13/03/18,1402,2,883,39
SKU-0000444,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Josias Silva,1006,13/03/18,1402,2,883,39
SKU-0000294,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Josias Silva,1006,13/03/18,1402,2,883,39
SKU-0000444,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Josias Silva,1006,13/03/18,1402,2,883,39
SKU-0000294,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Josias Silva,1006,13/03/18,1402,2,883,39
SKU-0000444,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Josias Silva,1006,13/03/18,1402,2,883,39
SKU-0000444,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Josias Silva,1006,21/03/18,1402,2,883,39
SKU-0000294,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Josias Silva,1006,21/03/18,1402,2,883,39
SKU-0000444,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Josias Silva,1006,21/03/18,1402,2,883,39
SKU-0000294,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Josias Silva,1006,21/03/18,1402,2,883,39
SKU-0000444,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Josias Silva,1006,21/03/18,1402,2,883,39
SKU-0000294,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Josias Silva,1006,21/03/18,1402,2,883,39
SKU-0000326,Morotola Moto G5,Celulares,Dom�stico,Motorola,RG7742,Natal,Rio Grande do Norte,Maria Fernandes,1001,01/04/18,1402,2,883,39
SKU-0000326,Morotola Moto G5,Celulares,Dom�stico,Motorola,RG7742,Natal,Rio Grande do Norte,Maria Fernandes,1001,01/04/18,1402,2,883,39
SKU-0000326,Morotola Moto G5,Celulares,Dom�stico,Motorola,RG7742,Natal,Rio Grande do Norte,Maria Fernandes,1001,01/04/18,1402,2,883,39
SKU-0000172,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Andr� Pereira,1002,01/04/18,4558,86,2872,8
SKU-0000172,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Andr� Pereira,1002,01/04/18,4558,86,2872,8
SKU-0000172,Samsung Galaxy 8,Celulares,Corporativo,Samsung,R1296,Recife,Pernambuco,Andr� Pereira,1002,01/04/18,4558,86,2872,8
SKU-0000326,Morotola Moto G5,Celulares,Dom�stico,Motorola,RG7742,Natal,Rio Grande do Norte,Maria Fernandes,1001,09/04/18,1402,2,883,39
SKU-0000326,Morotola Moto G5,Celulares,Dom�stico,Motorola,RG7742,Natal,Rio Grande do Norte,Maria Fernandes,1001,09/04/18,1402,2,883,39
SKU-0000172,Samsung Galaxy 8,Celulares,Corporativo,Samsung,JB6325,Jaboat�o dos Guararapes,Pernambuco,Gustavo Lima,6301,09/04/18,4558,86,2872,8
SKU-0000172,Samsung Galaxy 8,Celulares,Corporativo,Samsung,JB6325,Jaboat�o dos Guararapes,Pernambuco,Gustavo Lima,6301,09/04/18,4558,86,2872,8
SKU-0000296,Morotola Moto G5,Celulares,Dom�stico,Motorola,R1296,Recife,Pernambuco,Artur Moreira,1004,15/04/18,1402,2,883,39
SKU-0000446,Morotola Moto G5,Celulares,Dom�stico,Motorola,JP8825,Jo�o Pessoa,Para�ba,Bruno Bezerra,8801,15/04/18,1402,2,883,39
